month_period,store_id,category,brand,gender,monthly_units_sold,avg_price_lkr,avg_promotion_percent,total_revenue,total_customer_count,unique_products_sold,holiday_days,festival_days,school_days,weekend_days,promotion_days,max_promotion_percent,avg_campaign_discount,month_date,year,month,quarter,previous_month_sales,previous_2_month_avg,previous_3_month_avg,previous_6_month_avg,same_month_last_year,sales_growth_1m,sales_growth_3m
2022-02,CP001,Men,Miss Modano,Men,319,3437.314615384615,0.0,1055918.32,266,37,1,0,0,8,0.0,0.0,0.0,2022-02-01,2022,2,1,309.0,347.0,314.6666666666667,296.1666666666667,226.0,-38.0,18.5
2022-03,CP001,Men,Miss Modano,Men,255,3605.9307843137253,0.0,932949.7,213,35,0,0,0,8,0.0,0.0,0.0,2022-03-01,2022,3,1,319.0,314.0,337.6666666666667,309.3333333333333,281.0,5.0,28.33333333333337
2022-04,CP001,Men,Miss Modano,Men,253,3670.881041666667,0.0,851424.92,204,33,2,9,0,9,8.0,25.0,18.75,2022-04-01,2022,4,2,255.0,287.0,294.3333333333333,314.5,349.0,-32.0,-20.166666666666686
2022-05,CP001,Men,Miss Modano,Men,249,3696.204705882353,0.0,871110.03,189,36,2,1,0,9,5.0,15.0,13.0,2022-05-01,2022,5,2,253.0,254.0,275.6666666666667,295.1666666666667,283.0,-1.0,-19.5
2022-06,CP001,Men,Miss Modano,Men,298,3807.0018965517243,0.0,1043925.75,256,34,1,0,0,8,0.0,0.0,0.0,2022-06-01,2022,6,2,249.0,251.0,252.33333333333334,295.0,223.0,-2.0,-42.66666666666666
2022-07,CP001,Men,Miss Modano,Men,247,3168.4003636363636,0.0,704868.25,200,37,0,0,0,10,11.0,20.0,14.545454545454545,2022-07-01,2022,7,3,298.0,273.5,266.6666666666667,280.5,220.0,24.5,-13.833333333333314
2022-08,CP001,Men,Miss Modano,Men,321,3756.9424074074072,0.0,1272447.83,261,34,0,0,21,8,10.0,20.0,14.0,2022-08-01,2022,8,3,247.0,272.5,264.6666666666667,270.1666666666667,240.0,-25.5,-5.5
2022-09,CP001,Men,Miss Modano,Men,234,3578.637551020408,0.0,780833.86,185,38,0,0,5,8,0.0,0.0,0.0,2022-09-01,2022,9,3,321.0,284.0,288.6666666666667,270.5,224.0,37.0,18.166666666666686
2022-10,CP001,Men,Miss Modano,Men,213,3338.2946666666667,0.0,645764.29,165,30,1,0,0,10,0.0,0.0,0.0,2022-10-01,2022,10,4,234.0,277.5,267.3333333333333,267.0,369.0,-43.5,0.3333333333333144
2022-11,CP001,Men,Miss Modano,Men,273,3647.200588235294,0.0,1002017.75,226,37,0,0,0,8,6.0,30.0,23.333333333333332,2022-11-01,2022,11,4,213.0,223.5,256.0,260.3333333333333,250.0,-10.5,-4.333333333333314
2022-12,CP001,Men,Miss Modano,Men,255,3472.340816326531,0.0,828993.5,208,34,1,6,0,9,10.0,30.0,23.0,2022-12-01,2022,12,4,273.0,243.0,240.0,264.3333333333333,385.0,30.0,-24.333333333333314
2023-01,CP001,Men,Miss Modano,Men,257,3483.9008510638296,0.0,920493.09,211,28,0,0,10,9,9.0,15.0,11.11111111111111,2023-01-01,2023,1,1,255.0,264.0,247.0,257.1666666666667,309.0,-9.0,-10.166666666666686
2023-02,CP001,Men,Miss Modano,Men,310,3837.469298245614,0.0,1167032.25,260,36,1,0,0,8,0.0,0.0,0.0,2023-02-01,2023,2,1,257.0,256.0,261.6666666666667,258.8333333333333,319.0,1.0,2.8333333333333712
2023-03,CP001,Men,Miss Modano,Men,181,3637.4633333333336,0.0,609977.45,148,28,0,0,0,8,0.0,0.0,0.0,2023-03-01,2023,3,1,310.0,283.5,274.0,257.0,255.0,26.5,17.0
2023-04,CP001,Men,Miss Modano,Men,349,3210.3037704918033,0.0,1109350.84,275,38,2,9,0,10,11.0,25.0,19.09090909090909,2023-04-01,2023,4,2,181.0,245.5,249.33333333333334,248.16666666666666,253.0,-64.5,1.1666666666666856
2023-05,CP001,Men,Miss Modano,Men,293,3506.1043103448274,0.0,993602.49,247,37,2,1,0,8,5.0,15.0,12.0,2023-05-01,2023,5,2,349.0,265.0,280.0,270.8333333333333,249.0,84.0,9.166666666666686
2023-06,CP001,Men,Miss Modano,Men,305,3529.6738596491227,0.0,1126445.18,262,34,1,0,0,8,0.0,0.0,0.0,2023-06-01,2023,6,2,293.0,321.0,274.3333333333333,274.1666666666667,298.0,-28.0,0.16666666666662877
2023-07,CP001,Men,Miss Modano,Men,223,3099.3212,0.0,636114.27,190,31,0,0,0,10,5.0,20.0,12.0,2023-07-01,2023,7,3,305.0,299.0,315.6666666666667,282.5,247.0,6.0,33.166666666666686
2023-08,CP001,Men,Miss Modano,Men,166,3951.363888888889,0.0,671543.83,131,28,0,0,21,8,10.0,20.0,12.5,2023-08-01,2023,8,3,223.0,264.0,273.6666666666667,276.8333333333333,321.0,-41.0,-3.1666666666666288
2023-09,CP001,Men,Miss Modano,Men,297,3602.3925,0.0,1084613.57,243,31,0,0,5,9,0.0,0.0,0.0,2023-09-01,2023,9,3,166.0,194.5,231.33333333333334,252.83333333333334,234.0,-28.5,-21.5
2023-10,CP001,Men,Miss Modano,Men,240,3802.0791666666664,0.0,951912.29,199,32,1,0,0,9,0.0,0.0,0.0,2023-10-01,2023,10,4,297.0,231.5,228.66666666666666,272.1666666666667,213.0,65.5,-43.50000000000003
2023-11,CP001,Men,Miss Modano,Men,274,3690.4117857142855,0.0,984109.33,226,31,0,0,0,8,6.0,25.0,24.166666666666668,2023-11-01,2023,11,4,240.0,268.5,234.33333333333334,254.0,273.0,-28.5,-19.666666666666657
2023-12,CP001,Men,Miss Modano,Men,267,3745.166808510638,0.3191489361702128,950751.83,223,36,1,6,0,10,15.0,30.0,22.333333333333332,2023-12-01,2023,12,4,274.0,257.0,270.3333333333333,250.83333333333334,255.0,17.0,19.49999999999997
2024-01,CP001,Men,Miss Modano,Men,273,3551.718,0.0,921888.38,236,40,0,0,10,8,9.0,15.0,12.222222222222221,2024-01-01,2024,1,1,267.0,270.5,260.3333333333333,244.5,257.0,-3.5,15.833333333333314
2024-02,CP001,Men,Miss Modano,Men,256,3831.4985714285713,0.0,903125.09,213,34,1,0,0,8,0.0,0.0,0.0,2024-02-01,2024,2,1,273.0,270.0,271.3333333333333,252.83333333333334,310.0,3.0,18.49999999999997
2024-03,CP001,Men,Miss Modano,Men,317,3295.070576923077,0.0,936124.54,253,31,0,0,0,10,0.0,0.0,0.0,2024-03-01,2024,3,1,256.0,264.5,265.3333333333333,267.8333333333333,181.0,-8.5,-2.5
2024-04,CP001,Men,Miss Modano,Men,305,3743.7508163265306,0.20408163265306123,1105983.37,251,32,2,9,0,8,11.0,25.0,18.636363636363637,2024-04-01,2024,4,2,317.0,286.5,282.0,271.1666666666667,349.0,30.5,10.833333333333314
2024-05,CP001,Men,Miss Modano,Men,205,3568.864634146342,0.0,787555.15,153,32,2,1,0,8,5.0,15.0,12.0,2024-05-01,2024,5,2,305.0,311.0,292.6666666666667,282.0,293.0,-6.0,10.666666666666686
2024-06,CP001,Men,Miss Modano,Men,290,3426.157090909091,0.0,980456.97,232,36,1,0,0,10,0.0,0.0,0.0,2024-06-01,2024,6,2,205.0,255.0,275.6666666666667,270.5,305.0,-50.0,5.166666666666686
2024-07,CP001,Men,Miss Modano,Men,276,4029.1988,0.0,1071265.45,233,34,0,0,0,8,3.0,15.0,11.666666666666666,2024-07-01,2024,7,3,290.0,247.5,266.6666666666667,274.3333333333333,223.0,42.5,-7.666666666666629
2024-08,CP001,Men,Miss Modano,Men,294,3529.839387755102,0.30612244897959184,993327.76,235,34,0,0,21,9,12.0,20.0,14.166666666666666,2024-08-01,2024,8,3,276.0,283.0,257.0,274.8333333333333,166.0,-7.0,-17.833333333333314
2024-09,CP001,Men,Miss Modano,Men,294,3518.912307692308,0.0,1047211.9500000001,239,33,0,0,5,9,0.0,0.0,0.0,2024-09-01,2024,9,3,294.0,285.0,286.6666666666667,281.1666666666667,297.0,9.0,5.5
2024-10,CP001,Men,Miss Modano,Men,377,3315.476507936508,0.0,1177936.8800000001,304,34,1,0,0,8,0.0,0.0,0.0,2024-10-01,2024,10,4,294.0,294.0,288.0,277.3333333333333,240.0,0.0,10.666666666666686
2024-11,CP001,Men,Miss Modano,Men,336,3477.4286666666667,0.0,1089177.47,278,35,0,0,0,9,2.0,25.0,25.0,2024-11-01,2024,11,4,377.0,335.5,321.6666666666667,289.3333333333333,274.0,41.5,32.33333333333337
2024-12,CP001,Men,Miss Modano,Men,271,3974.260217391304,0.0,1091577.8800000001,218,32,1,6,0,9,12.0,30.0,22.916666666666668,2024-12-01,2024,12,4,336.0,356.5,335.6666666666667,311.1666666666667,267.0,-20.5,24.5
2025-01,CP001,Men,Miss Modano,Men,362,3543.828392857143,0.17857142857142858,1220841.91,303,38,0,0,10,8,9.0,15.0,11.11111111111111,2025-01-01,2025,1,1,271.0,303.5,328.0,308.0,273.0,-32.5,20.0
2025-02,CP001,Men,Miss Modano,Men,227,3757.7395238095237,0.0,810860.69,180,31,1,0,0,8,0.0,0.0,0.0,2025-02-01,2025,2,1,362.0,316.5,323.0,322.3333333333333,256.0,45.5,0.6666666666666856
2025-03,CP001,Men,Miss Modano,Men,365,3665.7681666666667,0.0,1355294.31,295,39,0,0,0,10,0.0,0.0,0.0,2025-03-01,2025,3,1,227.0,294.5,286.6666666666667,311.1666666666667,317.0,-67.5,-24.5
2025-04,CP001,Men,Miss Modano,Men,309,3416.7924528301887,0.0,1064218.33,250,34,2,9,0,8,13.0,25.0,17.692307692307693,2025-04-01,2025,4,2,365.0,296.0,318.0,323.0,305.0,69.0,-5.0
2025-05,CP001,Men,Miss Modano,Men,295,3699.4762068965515,0.0,1030461.23,239,32,2,1,0,9,4.0,15.0,13.75,2025-05-01,2025,5,2,309.0,337.0,300.3333333333333,311.6666666666667,205.0,-28.0,-11.333333333333371
2025-06,CP001,Men,Miss Modano,Men,286,3380.991320754717,0.0,1011371.76,225,34,1,0,0,9,0.0,0.0,0.0,2025-06-01,2025,6,2,295.0,302.0,323.0,304.8333333333333,290.0,-7.0,18.166666666666686
2025-07,CP001,Men,Miss Modano,Men,338,3648.11125,0.0,1194851.15,291,32,0,0,0,8,8.0,20.0,16.875,2025-07-01,2025,7,3,286.0,290.5,296.6666666666667,307.3333333333333,276.0,-4.5,-10.666666666666629
2025-08,CP001,Men,Miss Modano,Men,271,3771.9437209302328,0.0,1018651.76,228,27,0,0,21,10,10.0,20.0,15.0,2025-08-01,2025,8,3,338.0,312.0,306.3333333333333,303.3333333333333,294.0,26.0,3.0
2025-09,CP001,Men,Miss Modano,Men,310,3265.0945098039215,0.0,968591.78,261,37,0,0,5,8,0.0,0.0,0.0,2025-09-01,2025,9,3,271.0,304.5,298.3333333333333,310.6666666666667,294.0,-33.5,-12.333333333333371
2025-10,CP001,Men,Miss Modano,Men,299,3521.508,0.0,998236.97,245,31,1,0,0,8,0.0,0.0,0.0,2025-10-01,2025,10,4,310.0,290.5,306.3333333333333,301.5,377.0,19.5,4.833333333333314
2025-11,CP001,Men,Miss Modano,Men,333,3356.726521739131,0.43478260869565216,1139725.5,284,33,0,0,0,10,10.0,30.0,24.0,2025-11-01,2025,11,4,299.0,304.5,293.3333333333333,299.8333333333333,336.0,-5.5,-6.5
2025-12,CP001,Men,Miss Modano,Men,357,3766.5141999999996,0.3,1322168.94,311,30,1,6,0,8,11.0,30.0,20.0,2025-12-01,2025,12,4,333.0,316.0,314.0,306.1666666666667,271.0,17.0,7.833333333333314
2021-01,CP001,Men,Modano,Men,88,4036.32875,0.0,327381.5,72,19,0,0,10,10,10.0,15.0,12.5,2021-01-01,2021,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,CP001,Men,Modano,Men,84,3418.538148148148,0.0,290457.62,66,20,1,0,0,8,0.0,0.0,0.0,2021-02-01,2021,2,1,88.0,0.0,0.0,0.0,0.0,88.0,0.0
2021-03,CP001,Men,Modano,Men,106,3339.798157894737,0.0,348871.82,83,26,0,0,0,8,0.0,0.0,0.0,2021-03-01,2021,3,1,84.0,86.0,0.0,0.0,0.0,-2.0,0.0
2021-04,CP001,Men,Modano,Men,113,3696.325294117647,0.0,399322.27999999997,87,23,2,9,0,8,7.0,25.0,16.428571428571427,2021-04-01,2021,4,2,106.0,95.0,92.66666666666667,0.0,0.0,11.0,92.66666666666667
2021-05,CP001,Men,Modano,Men,118,3162.6878048780486,0.0,373765.22,88,22,2,1,0,10,6.0,15.0,11.666666666666666,2021-05-01,2021,5,2,113.0,109.5,101.0,0.0,0.0,3.5,101.0
2021-06,CP001,Men,Modano,Men,111,3597.0442857142853,0.0,388371.66,84,29,1,0,0,8,0.0,0.0,0.0,2021-06-01,2021,6,2,118.0,115.5,112.33333333333333,0.0,0.0,2.5,112.33333333333333
2021-07,CP001,Men,Modano,Men,112,3659.135777777778,0.0,392972.52,84,22,0,0,0,9,9.0,20.0,15.0,2021-07-01,2021,7,3,111.0,114.5,114.0,103.33333333333333,0.0,-3.5,10.666666666666671
2021-08,CP001,Men,Modano,Men,86,2959.917,0.0,240134.32,66,19,0,0,21,9,10.0,20.0,15.0,2021-08-01,2021,8,3,112.0,111.5,113.66666666666667,107.33333333333333,0.0,0.5,6.333333333333343
2021-09,CP001,Men,Modano,Men,118,3485.4212500000003,0.0,415023.06,93,28,0,0,5,8,0.0,0.0,0.0,2021-09-01,2021,9,3,86.0,99.0,103.0,107.66666666666667,0.0,-13.0,-4.666666666666671
2021-10,CP001,Men,Modano,Men,121,3356.996341463415,0.0,384085.92,89,25,1,0,0,10,0.0,0.0,0.0,2021-10-01,2021,10,4,118.0,102.0,105.33333333333333,109.66666666666667,0.0,16.0,-4.333333333333343
2021-11,CP001,Men,Modano,Men,111,3706.8025000000002,0.75,373688.08,83,25,0,0,0,8,5.0,30.0,27.0,2021-11-01,2021,11,4,121.0,119.5,108.33333333333333,111.0,0.0,1.5,-2.6666666666666714
2021-12,CP001,Men,Modano,Men,193,3790.123103448276,0.3448275862068966,697742.58,150,31,1,6,0,8,9.0,30.0,22.77777777777778,2021-12-01,2021,12,4,111.0,116.0,116.66666666666667,109.83333333333333,0.0,-5.0,6.833333333333343
2022-01,CP001,Men,Modano,Men,128,3136.4693023255813,0.3488372093023256,391809.93,105,26,0,0,10,10,4.0,15.0,13.75,2022-01-01,2022,1,1,193.0,152.0,141.66666666666666,123.5,88.0,41.0,18.166666666666657
2022-02,CP001,Men,Modano,Men,95,3426.8784375,0.0,345897.19,74,20,1,0,0,8,0.0,0.0,0.0,2022-02-01,2022,2,1,128.0,160.5,144.0,126.16666666666667,84.0,-32.5,17.83333333333333
2022-03,CP001,Men,Modano,Men,103,3513.4155263157895,0.0,344859.6,81,24,0,0,0,8,0.0,0.0,0.0,2022-03-01,2022,3,1,95.0,111.5,138.66666666666666,127.66666666666667,106.0,-16.5,10.999999999999986
2022-04,CP001,Men,Modano,Men,129,3410.7441025641024,0.0,455015.88,99,25,2,9,0,9,8.0,25.0,15.625,2022-04-01,2022,4,2,103.0,99.0,108.66666666666667,125.16666666666667,113.0,4.0,-16.5
2022-05,CP001,Men,Modano,Men,126,3767.2961363636364,0.0,437172.22,95,24,2,1,0,9,4.0,15.0,13.75,2022-05-01,2022,5,2,129.0,116.0,109.0,126.5,118.0,13.0,-17.5
2022-06,CP001,Men,Modano,Men,101,3253.9864864864867,0.0,315534.15,76,22,1,0,0,8,0.0,0.0,0.0,2022-06-01,2022,6,2,126.0,127.5,119.33333333333333,129.0,111.0,-1.5,-9.666666666666671
2022-07,CP001,Men,Modano,Men,120,3324.7040476190477,0.35714285714285715,380518.11,95,27,0,0,0,10,5.0,20.0,17.0,2022-07-01,2022,7,3,101.0,113.5,118.66666666666667,113.66666666666667,112.0,-12.5,5.0
2022-08,CP001,Men,Modano,Men,125,3790.46175,0.0,468137.12,94,21,0,0,21,8,4.0,20.0,17.5,2022-08-01,2022,8,3,120.0,110.5,115.66666666666667,112.33333333333333,86.0,9.5,3.333333333333343
2022-09,CP001,Men,Modano,Men,81,3706.4813793103444,0.0,308494.77999999997,66,20,0,0,5,8,0.0,0.0,0.0,2022-09-01,2022,9,3,125.0,122.5,115.33333333333333,117.33333333333333,118.0,2.5,-2.0
2022-10,CP001,Men,Modano,Men,108,3499.6954285714287,0.0,388525.32,82,24,1,0,0,10,0.0,0.0,0.0,2022-10-01,2022,10,4,81.0,103.0,108.66666666666667,113.66666666666667,121.0,-22.0,-5.0
2022-11,CP001,Men,Modano,Men,138,3219.168043478261,0.0,477315.08,103,24,0,0,0,8,5.0,30.0,23.0,2022-11-01,2022,11,4,108.0,94.5,104.66666666666667,110.16666666666667,111.0,13.5,-5.5
2022-12,CP001,Men,Modano,Men,141,3463.770540540541,0.6756756756756757,490570.44,112,24,1,6,0,9,11.0,30.0,20.90909090909091,2022-12-01,2022,12,4,138.0,123.0,109.0,112.16666666666667,193.0,15.0,-3.1666666666666714
2023-01,CP001,Men,Modano,Men,131,3720.1918181818182,0.0,474008.14,102,26,0,0,10,9,4.0,15.0,12.5,2023-01-01,2023,1,1,141.0,139.5,129.0,118.83333333333333,128.0,1.5,10.166666666666671
2023-02,CP001,Men,Modano,Men,109,3587.031621621621,0.0,367072.33999999997,85,25,1,0,0,8,0.0,0.0,0.0,2023-02-01,2023,2,1,131.0,136.0,136.66666666666666,120.66666666666667,95.0,-5.0,15.999999999999986
2023-03,CP001,Men,Modano,Men,112,3793.015945945946,0.0,383487.06,89,24,0,0,0,8,0.0,0.0,0.0,2023-03-01,2023,3,1,109.0,120.0,127.0,118.0,103.0,-11.0,9.0
2023-04,CP001,Men,Modano,Men,105,3619.1263636363637,0.6060606060606061,368191.22000000003,83,22,2,9,0,10,7.0,25.0,21.428571428571427,2023-04-01,2023,4,2,112.0,110.5,117.33333333333333,123.16666666666667,129.0,1.5,-5.833333333333343
2023-05,CP001,Men,Modano,Men,129,3879.3556097560972,0.0,510492.3,98,27,2,1,0,8,4.0,15.0,12.5,2023-05-01,2023,5,2,105.0,108.5,108.66666666666667,122.66666666666667,126.0,-3.5,-14.0
2023-06,CP001,Men,Modano,Men,131,3368.158048780488,0.0,416460.82,111,24,1,0,0,8,0.0,0.0,0.0,2023-06-01,2023,6,2,129.0,117.0,115.33333333333333,121.16666666666667,101.0,12.0,-5.833333333333343
2023-07,CP001,Men,Modano,Men,128,3485.599069767442,0.0,440482.27,93,27,0,0,0,10,3.0,20.0,15.0,2023-07-01,2023,7,3,131.0,130.0,121.66666666666667,119.5,120.0,1.0,2.1666666666666714
2023-08,CP001,Men,Modano,Men,110,3257.896842105263,0.0,371363.37,83,27,0,0,21,8,6.0,20.0,15.833333333333334,2023-08-01,2023,8,3,128.0,129.5,129.33333333333334,119.0,125.0,-1.5,10.333333333333343
2023-09,CP001,Men,Modano,Men,100,3767.8374999999996,0.0,331308.14999999997,78,22,0,0,5,9,0.0,0.0,0.0,2023-09-01,2023,9,3,110.0,119.0,123.0,119.16666666666667,81.0,-9.0,3.8333333333333286
2023-10,CP001,Men,Modano,Men,103,3658.6306451612904,0.0,382321.34,80,19,1,0,0,9,0.0,0.0,0.0,2023-10-01,2023,10,4,100.0,105.0,112.66666666666667,117.16666666666667,108.0,-5.0,-4.5
2023-11,CP001,Men,Modano,Men,82,3435.345357142857,0.0,298110.65,62,19,0,0,0,8,7.0,30.0,25.714285714285715,2023-11-01,2023,11,4,103.0,101.5,104.33333333333333,116.83333333333333,138.0,1.5,-12.5
2023-12,CP001,Men,Modano,Men,121,3590.159722222222,0.8333333333333334,414872.18,96,24,1,6,0,10,10.0,30.0,23.0,2023-12-01,2023,12,4,82.0,92.5,95.0,109.0,141.0,-10.5,-14.0
2024-01,CP001,Men,Modano,Men,106,3785.0573529411763,0.0,418986.71,85,23,0,0,10,8,7.0,15.0,12.142857142857142,2024-01-01,2024,1,1,121.0,101.5,102.0,107.33333333333333,131.0,19.5,-5.333333333333329
2024-02,CP001,Men,Modano,Men,125,3968.6505128205126,0.0,480389.41,97,26,1,0,0,8,0.0,0.0,0.0,2024-02-01,2024,2,1,106.0,113.5,103.0,103.66666666666667,109.0,-7.5,-0.6666666666666714
2024-03,CP001,Men,Modano,Men,122,3379.749142857143,0.0,408593.75,95,23,0,0,0,10,0.0,0.0,0.0,2024-03-01,2024,3,1,125.0,115.5,117.33333333333333,106.16666666666667,112.0,9.5,11.166666666666657
2024-04,CP001,Men,Modano,Men,154,4111.905227272727,0.0,618416.67,122,26,2,9,0,8,4.0,20.0,13.75,2024-04-01,2024,4,2,122.0,123.5,117.66666666666667,109.83333333333333,105.0,-1.5,7.833333333333343
2024-05,CP001,Men,Modano,Men,138,3723.2668888888893,0.2222222222222222,515738.65,107,27,2,1,0,8,7.0,15.0,12.142857142857142,2024-05-01,2024,5,2,154.0,138.0,133.66666666666666,118.33333333333333,129.0,16.0,15.333333333333329
2024-06,CP001,Men,Modano,Men,110,4107.736060606061,0.0,448510.65,90,22,1,0,0,10,0.0,0.0,0.0,2024-06-01,2024,6,2,138.0,146.0,138.0,127.66666666666667,131.0,-8.0,10.333333333333329
2024-07,CP001,Men,Modano,Men,103,3461.8921212121213,0.0,352164.35,82,22,0,0,0,8,9.0,20.0,13.88888888888889,2024-07-01,2024,7,3,110.0,124.0,134.0,125.83333333333333,128.0,-14.0,8.166666666666671
2024-08,CP001,Men,Modano,Men,96,3783.130833333333,0.0,332379.26,78,20,0,0,21,9,3.0,20.0,18.333333333333332,2024-08-01,2024,8,3,103.0,106.5,117.0,125.33333333333333,110.0,-3.5,-8.333333333333329
2024-09,CP001,Men,Modano,Men,122,3785.4062162162163,0.0,452010.1,96,22,0,0,5,9,0.0,0.0,0.0,2024-09-01,2024,9,3,96.0,99.5,103.0,120.5,100.0,-3.5,-17.5
2024-10,CP001,Men,Modano,Men,93,3311.2509375,0.0,278094.20999999996,72,23,1,0,0,8,0.0,0.0,0.0,2024-10-01,2024,10,4,122.0,109.0,107.0,120.5,103.0,13.0,-13.5
2024-11,CP001,Men,Modano,Men,91,3493.8610344827584,0.0,315598.54,70,19,0,0,0,9,3.0,25.0,23.333333333333332,2024-11-01,2024,11,4,93.0,107.5,103.66666666666667,110.33333333333333,82.0,-14.5,-6.666666666666657
2024-12,CP001,Men,Modano,Men,135,3981.84717948718,0.0,516586.12,106,24,1,6,0,9,10.0,30.0,24.0,2024-12-01,2024,12,4,91.0,92.0,102.0,102.5,121.0,-1.0,-0.5
2025-01,CP001,Men,Modano,Men,111,3220.819210526316,0.0,379662.88,85,26,0,0,10,8,6.0,15.0,11.666666666666666,2025-01-01,2025,1,1,135.0,113.0,106.33333333333333,106.66666666666667,106.0,22.0,-0.3333333333333428
2025-02,CP001,Men,Modano,Men,135,3581.9615384615386,0.0,477173.7,105,22,1,0,0,8,0.0,0.0,0.0,2025-02-01,2025,2,1,111.0,123.0,112.33333333333333,108.0,125.0,-12.0,4.333333333333329
2025-03,CP001,Men,Modano,Men,88,3128.286206896552,0.0,268763.07,69,18,0,0,0,10,0.0,0.0,0.0,2025-03-01,2025,3,1,135.0,123.0,127.0,114.5,122.0,12.0,12.5
2025-04,CP001,Men,Modano,Men,166,3393.965227272727,0.0,550044.86,128,30,2,9,0,8,11.0,25.0,20.0,2025-04-01,2025,4,2,88.0,111.5,111.33333333333333,108.83333333333333,154.0,-23.5,2.5
2025-05,CP001,Men,Modano,Men,128,3461.2469047619047,0.0,441861.37,97,27,2,1,0,9,7.0,15.0,14.285714285714286,2025-05-01,2025,5,2,166.0,127.0,129.66666666666666,121.0,138.0,39.0,8.666666666666657
2025-06,CP001,Men,Modano,Men,94,3300.5554838709677,0.0,318450.45,74,22,1,0,0,9,0.0,0.0,0.0,2025-06-01,2025,6,2,128.0,147.0,127.33333333333333,127.16666666666667,110.0,-19.0,0.1666666666666572
2025-07,CP001,Men,Modano,Men,138,3359.50488372093,0.46511627906976744,453434.76,106,26,0,0,0,8,8.0,20.0,16.875,2025-07-01,2025,7,3,94.0,111.0,129.33333333333334,120.33333333333333,103.0,-17.0,9.000000000000014
2025-08,CP001,Men,Modano,Men,142,3300.83511627907,0.0,473218.93,115,25,0,0,21,10,6.0,20.0,12.5,2025-08-01,2025,8,3,138.0,116.0,120.0,124.83333333333333,96.0,22.0,-4.833333333333329
2025-09,CP001,Men,Modano,Men,78,3097.5880769230766,0.0,235390.66999999998,59,18,0,0,5,8,0.0,0.0,0.0,2025-09-01,2025,9,3,142.0,140.0,124.66666666666667,126.0,122.0,2.0,-1.3333333333333286
2025-10,CP001,Men,Modano,Men,144,2988.7362222222223,0.0,432936.99,106,26,1,0,0,8,0.0,0.0,0.0,2025-10-01,2025,10,4,78.0,110.0,119.33333333333333,124.33333333333333,93.0,-32.0,-5.0
2025-11,CP001,Men,Modano,Men,161,3370.7239583333335,0.0,534177.4299999999,128,30,0,0,0,10,5.0,30.0,24.0,2025-11-01,2025,11,4,144.0,111.0,121.33333333333333,120.66666666666667,91.0,33.0,0.6666666666666572
2025-12,CP001,Men,Modano,Men,153,3588.7034210526317,0.0,583720.9,121,23,1,6,0,8,8.0,30.0,21.25,2025-12-01,2025,12,4,161.0,152.5,127.66666666666667,126.16666666666667,135.0,8.5,1.5
2021-01,CP001,Women,Emerald,Women,381,4246.841428571429,0.17857142857142858,1659240.69,331,40,0,0,10,10,11.0,15.0,11.818181818181818,2021-01-01,2021,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,CP001,Women,Emerald,Women,371,4355.36,0.0,1470154.78,300,40,1,0,0,8,0.0,0.0,0.0,2021-02-01,2021,2,1,381.0,0.0,0.0,0.0,0.0,381.0,0.0
2021-03,CP001,Women,Emerald,Women,466,3985.5618,0.0,1678746.08,410,35,0,0,0,8,0.0,0.0,0.0,2021-03-01,2021,3,1,371.0,376.0,0.0,0.0,0.0,-5.0,0.0
2021-04,CP001,Women,Emerald,Women,456,4500.4742,0.0,2161430.84,400,29,2,9,0,8,13.0,25.0,17.692307692307693,2021-04-01,2021,4,2,466.0,418.5,406.0,0.0,0.0,47.5,406.0
2021-05,CP001,Women,Emerald,Women,514,3899.2507352941175,0.0,1829581.94,419,39,2,1,0,10,5.0,15.0,15.0,2021-05-01,2021,5,2,456.0,461.0,431.0,0.0,0.0,-5.0,431.0
2021-06,CP001,Women,Emerald,Women,500,4080.0420689655175,0.0,1841492.07,431,38,1,0,0,8,0.0,0.0,0.0,2021-06-01,2021,6,2,514.0,485.0,478.6666666666667,0.0,0.0,29.0,478.6666666666667
2021-07,CP001,Women,Emerald,Women,396,4332.330655737705,0.0,1559714.69,329,37,0,0,0,9,8.0,20.0,14.375,2021-07-01,2021,7,3,500.0,507.0,490.0,448.0,0.0,-7.0,42.0
2021-08,CP001,Women,Emerald,Women,431,4106.885483870968,0.3225806451612903,1689506.8,357,36,0,0,21,9,11.0,20.0,15.454545454545455,2021-08-01,2021,8,3,396.0,448.0,470.0,450.5,0.0,-52.0,19.5
2021-09,CP001,Women,Emerald,Women,532,3790.138028169014,0.0,1792906.21,462,41,0,0,5,8,0.0,0.0,0.0,2021-09-01,2021,9,3,431.0,413.5,442.3333333333333,460.5,0.0,17.5,-18.166666666666686
2021-10,CP001,Women,Emerald,Women,454,4087.3236666666667,0.0,1734665.57,379,42,1,0,0,10,0.0,0.0,0.0,2021-10-01,2021,10,4,532.0,481.5,453.0,471.5,0.0,50.5,-18.5
2021-11,CP001,Women,Emerald,Women,518,4525.668852459016,0.0,2237996.9,427,35,0,0,0,8,5.0,30.0,26.0,2021-11-01,2021,11,4,454.0,493.0,472.3333333333333,471.1666666666667,0.0,-39.0,1.1666666666666288
